id;year;Annual Hydric deficit (mm)
73081;1987;-263
73081;1988;-36
73081;1989;-387
73081;1990;-215
73081;1991;-193
73081;1992;9
73081;1993;-108
73081;1994;-166
73081;1995;-159
73081;1996;-174
73081;1997;-203
73081;1998;-162
73081;1999;-59
73081;2000;-251
73081;2001;-225
73081;2002;-208
73081;2003;-333
73081;2004;-202
73081;2005;-452
73081;2006;-389
73081;2007;-202
73081;2008;-123
73081;2009;-216
73081;2010;-266
73081;2011;-530
73081;2012;-347
73081;2013;-1
73081;2014;-308
73081;2015;-374
73081;2016;-260
