id;year;IAC - A1 - ITH Stress ;IAC - A2 - Besoin en chauffage ;IAC - A3 - Besoin en climatisation 
73081;1987;42;2074;272,2
73081;1988;56;1987,15;358,35
73081;1989;34;2351,15;246,4
73081;1990;20;2195,95;164,1
73081;1991;36;1978,7;267,2
73081;1992;40;2033,15;253,65
73081;1993;30;2114,55;232,35
73081;1994;29;2050,55;267,95
73081;1995;55;2001,5;338
73081;1996;41;1750,2;289,05
73081;1997;56;1920,3;405,75
73081;1998;43;1872,45;300,8
73081;1999;25;1969,3;246,3
73081;2000;35;1860,6;321
73081;2001;39;1992,25;279,5
73081;2002;29;2012,05;188,25
73081;2003;45;1986,95;306,85
73081;2004;27;1829,9;227,15
73081;2005;52;2035,7;340,45
73081;2006;36;2086;221,25
73081;2007;52;1889,6;335,6
73081;2008;64;2072,15;378
73081;2009;30;2189,75;218,95
73081;2010;54;1860,85;328,5
73081;2011;28;2145,4;196,4
73081;2012;33;2037,85;232,2
73081;2013;42;1918,05;262,45
73081;2014;35;2031,4;244,05
73081;2015;25;2136,55;181,8
73081;2016;48;1896,9;303,4
73081;2017;87;1610,3;467,8
73081;2018;46;1587,3;310,75
73081;2019;83;2021,55;497,8
73081;2020;64;1862,05;416,8
73081;2021;49;1422,45;394,45
73081;2022;70;1690,55;420,95
73081;2023;72;1811,2;517,6
73081;2024;61;1754,5;463,8
73081;2025;70;1714,15;492,35
73081;2026;80;1449,25;596,65
73081;2027;63;1841,05;478,4
73081;2028;82;1653,05;458,25
73081;2029;59;1698,2;470,35
73081;2030;95;1728,7;714,35
73081;2031;71;1858,6;446,4
73081;2032;84;1744,55;528,75
73081;2033;72;1672,45;446,4
73081;2034;72;1751,1;482,45
73081;2035;87;1934,1;560,55
73081;2036;66;1851,05;434,2
73081;2037;48;1613,4;312,85
73081;2038;80;1702,4;462,05
73081;2039;61;1873,85;422,75
73081;2040;69;1698;434,35
73081;2041;68;1690,7;454
73081;2042;85;1979,15;549,65
73081;2043;83;1797,95;504,1
73081;2044;87;1777,35;533,65
73081;2045;76;1608,65;463,5
73081;2046;75;1631,35;499,3
