year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,-8,-83,-171,40
1988,-14,-12,-209,33
1989,-129,-128,-240,-80
1990,-71,-37,-170,-5
1991,91,-115,-94,196
1992,-76,32,-109,115
1993,-102,-117,-117,27
1994,-40,-95,-89,33
1995,-61,-158,-187,-17
1996,-4,-115,-186,46
1997,-33,-131,-132,90
1998,-89,-168,-180,-29
1999,-49,-207,-132,14
2000,-89,-138,-73,-67
2001,-49,-165,-177,26
2002,-130,-116,-105,-1
2003,-91,-304,-230,60
2004,10,-169,-79,33
2005,-51,-98,-262,-31
2006,-27,-87,-63,-62
2007,-56,-152,-61,-12
2008,-85,-31,-83,127
2009,-65,-132,-158,-50
2010,-46,-24,-128,94
2011,-49,-234,-127,15
2012,-83,-89,-200,-51
2013,-31,-117,-131,-14
2014,-77,-225,-55,58
2015,-45,-276,-253,-38
2016,-23,-24,-286,76
