year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,206,327,439,147
1988,251,233,277,252
1989,99,268,365,170
1990,188,358,298,205
1991,108,275,404,182
1992,149,126,203,252
1993,225,456,768,265
1994,161,204,214,168
1995,168,349,257,124
1996,61,188,300,153
1997,105,198,268,182
1998,118,305,255,282
1999,187,362,235,246
2000,224,321,471,187
2001,239,315,302,198
2002,140,277,399,306
2003,117,180,181,184
2004,199,191,209,124
2005,106,248,249,111
2006,168,243,187,106
2007,128,215,337,81
2008,113,243,242,113
2009,118,297,186,180
2010,81,289,325,144
2011,106,236,272,113
2012,98,227,260,162
2013,152,314,170,130
2014,77,201,286,153
2015,110,285,114,149
2016,175,254,195,117
