year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,33,-54,-86,111
1988,161,-105,-132,117
1989,3,-163,-215,22
1990,33,-125,-198,104
1991,20,-152,-193,70
1992,18,-122,-170,140
1993,-19,-188,-130,137
1994,73,-120,-90,56
1995,157,-104,-177,50
1996,10,-222,-157,146
1997,35,-52,-154,136
1998,-8,-69,-183,134
1999,63,-109,-141,134
2000,48,-137,4,129
2001,128,-111,45,121
2002,80,-149,-177,147
2003,-2,-171,-280,76
2004,41,-161,-189,57
2005,-1,-103,-165,18
2006,76,-159,-76,99
2007,77,-87,-79,75
2008,100,-23,-167,67
2009,27,-79,-200,75
2010,-6,-246,-137,120
2011,-24,-249,-141,80
2012,-37,-52,-188,86
2013,14,-55,-186,159
2014,43,-192,-58,133
2015,-4,-205,-206,26
2016,62,-8,-253,30
